first_name	last_name	U		0		state		
Ashleigh	Doughnut	F	23091932	0		CA	18034505989	
Todd	Curler	M	10071916	0		CA	6885063878	
Carman	Crisp	F	02081966	0		CA	1633363688	
Asheley	Dough	F	19051949	0		IA	1977935073	
John	Crisp	M	29082017	0		CA	2387332458	
Ben	Do	M	13081946	0		VT	7695457361	
Carman	Doe	F	02061914	0		TX	3382665120	
Ben	Crisp	M	03021977	0		VT	3848987816	
Todd	Sourdough	M	24071979	0		CA	2837612916	
Todd	Dough	M	05081956	0		VT	6068802014	
Asheley	Sourdough	F	15121941	0		TX	11282756781	
Carman	Fryer	F	25091951	0		IA	8116613481	
Asheley	Curler	F	06121942	0		IA	1546721576	
Ben	Sourdough	M	17051963	0		IA	6722052645	
Ben	Crisp	M	21061942	0		TX	6008237715	
Alex	Do	M	05031987	0		IA	5035466623	
Alex	Do	F	15051926	0		IA	17351196578	
Carman	Do	F	19101979	0		IA	2862028873	
Thomas	Do	M	28121919	0		IA	4396447343	
Alex	Curler	M	23041980	0		IA	16737298364	
Todd	Doe	M	24021978	0		VT	6474484357	
Todd	Fryer	M	17122004	0		TX	7773993300	
Lisa	Fryer	F	07041970	0		VT	4267815049	
Asheley	Crisp	F	26121941	0		TX	16107566561	
Lisa	Sourdough	F	25082004	0		IA	1766292673	
Carman	Dough	F	28121994	0		VT	7388617999	
Ben	Doe	M	26051949	0		VT	18691463961	
Thomas	Dough	M	18092026	0		IA	4497645327	
Thomas	Do	M	16051972	0		IA	17625075795	
Alex	Sourdough	M	21082011	0		IA	13176017662	
Ben	Fryer	M	28091965	0		VT	8477997724	
Alex	Sourdough	M	25031925	0		CA	4648404406	
Asheley	Do	F	10042012	0		TX	4708097502	
Ben	Do	M	23061967	0		CA	2458644554	
Ben	Sourdough	M	26052031	0		TX	6817143260	
Alex	Fryer	F	15082006	0		VT	4942834606	
Carman	Crisp	F	15071966	0		TX	1715706328	
Lisa	Sourdough	F	24052005	0		IA	1861021292	
John	Crisp	M	15091987	0		IA	15898628815	
Alex	Dough	M	08021940	0		TX	3285251684	
Carman	Do	F	26052007	0		IA	16702682244	
Alex	Curler	F	27081996	0		TX	8642501062	
Jim	Do	M	28091985	0		VT	1516627424	
Alex	Sourdough	F	27011963	0		VT	3386938771	
Asheley	Crisp	F	06061989	0		CA	6395076217	
Thomas	Do	M	30111920	0		TX	6975638412	
John	Sourdough	M	12111939	0		CA	14583493342	
John	Curler	M	12031933	0		IA	3355362732	
Lisa	Sourdough	F	26021976	0		IA	6877954648	
Todd	Crisp	M	12021939	0		CA	7187662918	
Ben	Crisp	M	15111954	0		CA	8966735829	
Todd	Crisp	M	07041933	0		VT	5786015452	
Carman	Doughnut	F	09071991	0		CA	15508797231	
Ben	Doe	M	31121975	0		IA	6446432824	
Carman	Crisp	F	15052029	0		CA	5136811303	
Asheley	Curler	F	11101952	0		TX	5831361012	
Ben	Dough	M	15072017	0		VT	3542376450	
Asheley	Doughnut	F	30061934	0		IA	8867198963	
Ben	Doe	M	11021969	0		CA	7152414888	
Jim	Sourdough	M	07021932	0		CA	8352507788	
John	Fryer	M	24041942	0		TX	12033688021	
John	Fryer	M	25051925	0		TX	3107781047	
Carman	Dough	F	21062023	0		VT	12532306630	
Lisa	Doe	F	24051936	0		VT	4982286688	
Alex	Doe	M	26012006	0		IA	2082251261	
John	Doe	M	07081934	0		TX	3713935183	
Thomas	Sourdough	M	10051935	0		TX	3028875338	
Jim	Crisp	M	11102003	0		VT	8464198054	
Jim	Curler	M	06052009	0		VT	8491593132	
Ashleigh	Do	F	24111979	0		VT	16311965118	
Asheley	Doe	F	27121982	0		IA	3722697837	
Lisa	Doe	F	26101995	0		IA	8364315710	
Alex	Doughnut	M	25101944	0		IA	17232341104	
Alex	Doughnut	M	14121923	0		VT	6407286004	
Ben	Do	M	07082026	0		IA	1996857880	
Ben	Doughnut	M	13051988	0		TX	8094042989	
Ashleigh	Doe	F	18051982	0		IA	7038082664	
Carman	Curler	F	03061941	0		VT	3443566446	
Ashleigh	Do	F	30042021	0		CA	2168246299	
Asheley	Curler	F	08111983	0		CA	7408153763	
Asheley	Dough	F	24022012	0		IA	8243855500	
Lisa	Curler	F	26031996	0		IA	8321635878	
Asheley	Crisp	F	24091945	0		TX	4282794602	
Lisa	Crisp	F	15021998	0		CA	4338512750	
Ashleigh	Doughnut	F	24021914	0		CA	11542525862	
Alex	Dough	M	25021912	0		IA	2524228692	
Thomas	Curler	M	04011931	0		TX	16562425848	
Jim	Sourdough	M	04111951	0		TX	1273612088	
John	Sourdough	M	29111917	0		CA	8094144004	
John	Dough	M	24042029	0		TX	6786033673	
Thomas	Doughnut	M	25021978	0		CA	3183878535	
Alex	Curler	M	30091946	0		IA	7978812223	
Jim	Doe	M	30091975	0		VT	8877514953	
Jim	Sourdough	M	25121962	0		CA	2548715496	
Ben	Doe	M	29121926	0		CA	3295031632	
Alex	Fryer	M	15061926	0		CA	17828175976	
Carman	Do	F	10082003	0		IA	17641155178	
Carman	Doe	F	08041966	0		TX	3706841740	
John	Do	M	23071946	0		TX	17165964427	
Thomas	Doe	M	21121959	0		IA	8127607251	
Alex	Do	M	21081911	0		CA	5258593793	
Alex	Doe	F	13071920	0		IA	2385516931	
John	Curler	M	24011940	0		VT	2811308562	
Lisa	Fryer	F	23121962	0		IA	7656121009	
Alex	Crisp	M	21061986	0		CA	4303975452	
Alex	Fryer	F	26092004	0		VT	17872938488	
John	Doughnut	M	21021993	0		VT	3266328448	
Asheley	Fryer	F	07012015	0		CA	3857121105	
Lisa	Doughnut	F	17031913	0		TX	5006181641	
Alex	Doe	M	11031978	0		VT	7448605318	
Todd	Curler	M	25112016	0		VT	2917866727	
Asheley	Do	F	25121987	0		TX	5897186927	
Thomas	Crisp	M	16011921	0		CA	1795256678	
Carman	Sourdough	F	08051916	0		IA	6202068234	
Lisa	Sourdough	F	23061916	0		VT	3642922895	
Asheley	Do	F	17111937	0		TX	18996993044	
Carman	Curler	F	02121972	0		IA	2054347904	
John	Dough	M	17061961	0		CA	7054041153	
Ashleigh	Fryer	F	04112001	0		IA	14492505291	
Alex	Fryer	M	05051925	0		CA	7023095326	
Jim	Sourdough	M	24121976	0		TX	7698641295	
Alex	Crisp	M	18111963	0		TX	5963886130	
Alex	Fryer	M	06032022	0		IA	4618133476	
Ashleigh	Crisp	F	30032030	0		TX	3372553782	
Todd	Dough	M	24051917	0		VT	16108214967	
Jim	Fryer	M	07071949	0		TX	7992617002	
Carman	Doughnut	F	19082019	0		TX	2005895995	
Alex	Doughnut	F	11052018	0		VT	4458232144	
Ben	Doughnut	M	29011942	0		VT	13466774926	
Ashleigh	Doughnut	F	27121938	0		VT	6616685393	
Lisa	Fryer	F	04071969	0		CA	5158496514	
Alex	Sourdough	M	27121961	0		IA	1577262194	
John	Curler	M	26101921	0		VT	6716576340	
Alex	Fryer	M	06121947	0		IA	2457327231	
Thomas	Doe	M	26022024	0		VT	3936225149	
Thomas	Doughnut	M	11121973	0		VT	6058087613	
Ben	Sourdough	M	31051943	0		IA	4835454493	
Carman	Curler	F	12011971	0		CA	17764945162	
Carman	Curler	F	30081945	0		IA	6036022464	
Thomas	Curler	M	14122023	0		TX	5921904494	
Ashleigh	Dough	F	08041920	0		IA	7065194234	
Lisa	Fryer	F	13102019	0		TX	16242651584	
Alex	Fryer	F	12101934	0		CA	4143427334	
Alex	Curler	F	13031943	0		VT	7323373704	
Asheley	Doughnut	F	14121923	0		TX	16041034515	
Alex	Crisp	M	22111965	0		CA	7893368875	
John	Crisp	M	26062029	0		IA	13598666950	
Alex	Sourdough	F	15112020	0		CA	14917574012	
Ashleigh	Dough	F	29101989	0		TX	18366142361	
Lisa	Doughnut	F	02092025	0		IA	6976623879	
Lisa	Fryer	F	01042006	0		TX	18233567449	
Asheley	Crisp	F	11062031	0		CA	6218027280	
Todd	Sourdough	M	15052030	0		IA	3325064394	
Alex	Curler	M	08041954	0		IA	17032164757	
Lisa	Curler	F	01041982	0		CA	7758257274	
Asheley	Crisp	F	17121983	0		TX	4786407383	
Ben	Doe	M	26031984	0		CA	1108555896	
Thomas	Crisp	M	30061973	0		IA	12797644283	
John	Do	M	03071931	0		VT	7621193331	
Lisa	Sourdough	F	15081918	0		IA	11226711623	
Ashleigh	Crisp	F	01071968	0		TX	18024736369	
Ben	Dough	M	25061976	0		CA	1643317861	
Todd	Do	M	09112024	0		TX	8763886345	
Lisa	Do	F	07061951	0		TX	1261952965	
Ashleigh	Doughnut	F	16051997	0		IA	8396975098	
Carman	Fryer	F	27072025	0		CA	14836282483	
Thomas	Sourdough	M	26041995	0		IA	1025976621	
Thomas	Curler	M	29051999	0		VT	8934596205	
Ashleigh	Crisp	F	17041983	0		CA	3698653301	
Alex	Doughnut	M	03122012	0		VT	8658106377	
John	Dough	M	24121918	0		CA	7493322931	
Jim	Doughnut	M	24081937	0		VT	1292501912	
Alex	Fryer	M	05021957	0		IA	11336885864	
Lisa	Sourdough	F	04111976	0		IA	1745873446	
John	Dough	M	28021974	0		VT	1938625745	
Jim	Dough	M	31081916	0		TX	4732454450	
Lisa	Doughnut	F	17071931	0		VT	7768577692	
Alex	Doughnut	M	11021981	0		VT	18733411161	
Ben	Dough	M	13081944	0		CA	6528134420	
Alex	Do	F	02061961	0		IA	3265027025	
Jim	Doe	M	02112005	0		IA	7813502859	
Ben	Doe	M	16042029	0		TX	17898353239	
Carman	Sourdough	F	21101960	0		CA	6828337752	
Ben	Sourdough	M	02091913	0		CA	4176138231	
Alex	Do	F	25092006	0		IA	12222283412	
Lisa	Do	F	16021985	0		IA	2642714631	
Todd	Crisp	M	25061994	0		VT	6356862551	
John	Doughnut	M	28101974	0		TX	7366926709	
Asheley	Doe	F	02071978	0		CA	3498396914	
Asheley	Fryer	F	01112007	0		VT	6974053411	
Asheley	Curler	F	22111917	0		CA	6773798424	
Thomas	Dough	M	26012005	0		VT	5751813347	
Todd	Doughnut	M	15061949	0		TX	3658018042	
Alex	Do	F	15011917	0		CA	7938647343	
Ashleigh	Doughnut	F	29091999	0		VT	4917185868	
Jim	Doe	M	16071988	0		VT	5852701045	
Lisa	Curler	F	13111981	0		VT	14136352355	
Alex	Doe	M	17041929	0		IA	2347283094	
Ben	Doughnut	M	20041957	0		VT	7803891749	
Ben	Doe	M	26101978	0		IA	2123612293	
Lisa	Fryer	F	28091964	0		TX	6683537514	
John	Fryer	M	01031917	0		TX	13104627592	
Asheley	Curler	F	20021932	0		IA	12853436411	
Lisa	Do	F	21111977	0		CA	3651641604	
Asheley	Dough	F	04121953	0		IA	2352113087	
Carman	Crisp	F	09081993	0		TX	4163972905	
Carman	Fryer	F	27101923	0		IA	8312095517	
Jim	Doughnut	M	03101995	0		IA	5408278957	
John	Doe	M	15121985	0		CA	5791333416	
John	Do	M	06121929	0		VT	8862074085	
John	Doe	M	04061930	0		CA	6298147728	
Asheley	Doughnut	F	13111938	0		IA	1604213946	
Todd	Curler	M	07081931	0		CA	1747417574	
Lisa	Fryer	F	04041992	0		IA	12516385393	
Alex	Dough	F	31101919	0		CA	1747491688	
John	Fryer	M	24052031	0		CA	17207464150	
Lisa	Curler	F	25022026	0		IA	18298522903	
Ben	Dough	M	22122027	0		IA	5328797272	
Todd	Dough	M	17011956	0		TX	3528715728	
